mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
8,8,3774,18,2635,3774,14685,SAV,13930,ORD,-15.0,152,140.0,109.0,1,773,2018,5,5,5,18,19,GA,IL,10.231880437950128,7.3318759936407,0,SAV-ORD,0,1,0,0,0,1,0,0,0,1,0,0
0,0,3108,19,1995,3108,11057,CLT,10599,BHM,63.0,94,80.0,61.0,1,350,2019,2,13,2,17,18,NC,AL,5.328595793064243,5.953181272509004,1,CLT-BHM,1,0,0,0,0,1,0,0,0,1,0,0
3,3,1517,7,81,1517,13487,MSP,12266,IAH,1.0,177,169.0,147.0,1,1034,2019,10,3,3,8,11,MN,TX,2.1440377343780463,-0.3018240950226244,1,MSP-IAH,0,0,0,1,0,0,1,0,0,0,1,0
8,8,1358,21,1962,1358,12889,LAS,14771,SFO,21.0,94,104.0,70.0,1,414,2018,11,12,0,15,16,NV,CA,10.231880437950128,5.682458929517753,1,LAS-SFO,0,0,0,1,1,0,0,0,1,0,0,0
10,10,3768,23,2376,3768,14683,SAT,11259,DAL,-20.0,70,47.0,38.0,1,247,2019,5,26,6,14,15,TX,TX,2.438349885408711,2.438349885408711,0,SAT-DAL,0,1,0,0,1,0,0,0,1,0,0,0
8,8,3465,18,179,3465,13930,ORD,14683,SAT,-19.0,176,163.0,131.0,1,1041,2019,7,31,2,8,10,IL,TX,10.231880437950128,7.3318759936407,0,ORD-SAT,0,0,1,0,0,0,1,0,0,0,1,0
8,8,3014,3,2911,3014,11122,CPR,11292,DEN,-19.0,71,61.0,40.0,1,230,2019,10,6,6,11,12,WY,CO,10.231880437950128,18.070422535211268,0,CPR-DEN,0,0,0,1,0,0,1,0,1,0,0,0
1,1,494,2,1508,494,15376,TUS,14747,SEA,-28.0,201,182.0,166.0,1,1216,2018,1,5,4,12,15,AZ,WA,1.3057672946929382,1.3225882352941176,0,TUS-SEA,1,0,0,0,1,0,0,0,1,0,0,0
8,8,3192,5,182,3192,10257,ALB,11618,EWR,-21.0,78,63.0,29.0,1,143,2019,1,1,1,8,9,NY,NJ,10.231880437950128,24.96,0,ALB-EWR,1,0,0,0,0,0,1,0,0,0,1,0
3,3,1412,7,1008,1412,10397,ATL,12953,LGA,-11.0,131,113.0,94.0,1,762,2019,12,13,4,17,19,GA,NY,2.1440377343780463,-0.3018240950226244,0,ATL-LGA,0,0,0,1,0,1,0,0,0,1,0,0
