fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-05-02,WN,WN,WN,2217,WN,N261WN,2217,14107,PHX,"Phoenix, AZ",14831,SJC,"San Jose, CA",1555,1555.0,0.0,8.0,1603.0,1731.0,11.0,1750,1742.0,-8.0,0,,0,N,115,107.0,88.0,1,621,,,,,,,,,
2019-06-08,AA,AA,AA,1523,AA,N955AN,1523,11298,DFW,"Dallas/Fort Worth, TX",14262,PSP,"Palm Springs, CA",905,904.0,-1.0,24.0,928.0,959.0,6.0,1011,1005.0,-6.0,0,,0,N,186,181.0,151.0,1,1126,,,,,,,,,
2018-08-28,WN,WN,WN,2275,WN,N7826B,2275,12889,LAS,"Las Vegas, NV",13495,MSY,"New Orleans, LA",1430,1428.0,-2.0,12.0,1440.0,1940.0,4.0,1950,1944.0,-6.0,0,,0,N,200,196.0,180.0,1,1500,,,,,,,,,
2018-02-16,AA,AA_CODESHARE,AA,5821,YV,N929LR,5821,11298,DFW,"Dallas/Fort Worth, TX",11540,ELP,"El Paso, TX",1730,1750.0,20.0,16.0,1806.0,1832.0,3.0,1814,1835.0,21.0,0,,0,N,104,105.0,86.0,1,551,14.0,0.0,1.0,0.0,6.0,,,,
2018-09-12,UA,UA,UA,1294,UA,N69816,1294,12892,LAX,"Los Angeles, CA",14771,SFO,"San Francisco, CA",700,655.0,-5.0,26.0,721.0,815.0,17.0,830,832.0,2.0,0,,0,N,90,97.0,54.0,1,337,,,,,,,,,
2019-09-18,AA,AA_CODESHARE,AA,5056,OH,N537EA,5056,11278,DCA,"Washington, DC",14307,PVD,"Providence, RI",1500,1452.0,-8.0,13.0,1505.0,1607.0,3.0,1624,1610.0,-14.0,0,,0,N,84,78.0,62.0,1,356,,,,,,,,,
2018-07-14,UA,UA,UA,1781,UA,N24706,1781,12266,IAH,"Houston, TX",14893,SMF,"Sacramento, CA",950,944.0,-6.0,13.0,957.0,1116.0,4.0,1137,1120.0,-17.0,0,,0,N,227,216.0,199.0,1,1609,,,,,,,,,
2019-06-19,B6,B6,B6,1075,B6,N535JB,1075,14307,PVD,"Providence, RI",13204,MCO,"Orlando, FL",1753,1816.0,23.0,31.0,1847.0,2125.0,4.0,2046,2129.0,43.0,0,,0,N,173,193.0,158.0,1,1072,0.0,0.0,31.0,0.0,12.0,,,,
2018-11-09,AS,AS,AS,859,AS,N532AS,859,14747,SEA,"Seattle, WA",12173,HNL,"Honolulu, HI",705,704.0,-1.0,23.0,727.0,1122.0,5.0,1142,1127.0,-15.0,0,,0,N,397,383.0,355.0,1,2677,,,,,,,,,
2019-12-12,UA,UA,UA,416,UA,N16703,416,11618,EWR,"Newark, NJ",10721,BOS,"Boston, MA",630,623.0,-7.0,15.0,638.0,716.0,5.0,739,721.0,-18.0,0,,0,N,69,58.0,38.0,1,200,,,,,,,,,
2019-07-18,AS,AS_CODESHARE,AS,3441,OO,N189SY,3441,14057,PDX,"Portland, OR",11638,FAT,"Fresno, CA",1510,1502.0,-8.0,15.0,1517.0,1644.0,5.0,1700,1649.0,-11.0,0,,0,N,110,107.0,87.0,1,626,,,,,,,,,
2019-04-12,WN,WN,WN,1991,WN,N776WN,1991,14107,PHX,"Phoenix, AZ",14771,SFO,"San Francisco, CA",915,936.0,21.0,15.0,951.0,1135.0,7.0,1115,1142.0,27.0,0,,0,N,120,126.0,104.0,1,651,21.0,0.0,6.0,0.0,0.0,,,,
2018-10-29,AA,AA_CODESHARE,AA,6079,CP,N207AN,6079,12892,LAX,"Los Angeles, CA",10140,ABQ,"Albuquerque, NM",830,828.0,-2.0,16.0,844.0,1109.0,5.0,1130,1114.0,-16.0,0,,0,N,120,106.0,85.0,1,677,,,,,,,,,
2018-09-02,AS,AS_CODESHARE,AS,2587,QX,N404QX,2587,14747,SEA,"Seattle, WA",11603,EUG,"Eugene, OR",1335,1333.0,-2.0,19.0,1352.0,1441.0,4.0,1451,1445.0,-6.0,0,,0,N,76,72.0,49.0,1,234,,,,,,,,,
2019-04-27,WN,WN,WN,3784,WN,N8580Z,3784,10994,CHS,"Charleston, SC",10821,BWI,"Baltimore, MD",840,835.0,-5.0,10.0,845.0,1003.0,7.0,1010,1010.0,0.0,0,,0,N,90,95.0,78.0,1,472,,,,,,,,,
2018-07-31,AA,AA_CODESHARE,AA,4813,PT,N906AE,4813,14524,RIC,"Richmond, VA",14100,PHL,"Philadelphia, PA",1846,1926.0,40.0,16.0,1942.0,2019.0,8.0,1959,2027.0,28.0,0,,0,N,73,61.0,37.0,1,198,4.0,0.0,0.0,0.0,24.0,,,,
2019-01-15,UA,UA_CODESHARE,UA,4966,C5,N14186,4966,14524,RIC,"Richmond, VA",11618,EWR,"Newark, NJ",1405,1359.0,-6.0,67.0,1506.0,1550.0,15.0,1539,1605.0,26.0,0,,0,N,94,126.0,44.0,1,277,0.0,0.0,26.0,0.0,0.0,,,,
2019-08-25,AA,AA_CODESHARE,AA,5690,OH,N571NN,5690,11057,CLT,"Charlotte, NC",13485,MSN,"Madison, WI",1430,1424.0,-6.0,16.0,1440.0,1518.0,3.0,1541,1521.0,-20.0,0,,0,N,131,117.0,98.0,1,708,,,,,,,,,
2019-06-06,AA,AA_CODESHARE,AA,5045,OH,N548NN,5045,11057,CLT,"Charlotte, NC",13931,ORF,"Norfolk, VA",734,729.0,-5.0,21.0,750.0,837.0,3.0,847,840.0,-7.0,0,,0,N,73,71.0,47.0,1,290,,,,,,,,,
2019-04-19,DL,DL_CODESHARE,DL,7401,OO,N912EV,7401,11433,DTW,"Detroit, MI",10577,BGM,"Binghamton, NY",2040,2053.0,13.0,17.0,2110.0,2205.0,6.0,2203,2211.0,8.0,0,,0,N,83,78.0,55.0,1,378,,,,,,,,,
2018-12-15,DL,DL_CODESHARE,DL,3622,OO,N242SY,3622,14893,SMF,"Sacramento, CA",14869,SLC,"Salt Lake City, UT",1645,1643.0,-2.0,12.0,1655.0,1912.0,3.0,1926,1915.0,-11.0,0,,0,N,101,92.0,77.0,1,532,,,,,,,,,
2018-05-25,AA,AA_CODESHARE,AA,4236,AX,N623AE,4236,11278,DCA,"Washington, DC",10693,BNA,"Nashville, TN",1702,1658.0,-4.0,21.0,1719.0,1754.0,8.0,1809,1802.0,-7.0,0,,0,N,127,124.0,95.0,1,562,,,,,,,,,
2019-11-04,UA,UA,UA,2165,UA,N470UA,2165,10721,BOS,"Boston, MA",11618,EWR,"Newark, NJ",755,752.0,-3.0,16.0,808.0,850.0,8.0,915,858.0,-17.0,0,,0,N,80,66.0,42.0,1,200,,,,,,,,,
2018-03-09,AS,AS_CODESHARE,AS,2419,QX,N412QX,2419,14747,SEA,"Seattle, WA",13264,MFR,"Medford, OR",725,720.0,-5.0,9.0,729.0,831.0,4.0,850,835.0,-15.0,0,,0,N,85,75.0,62.0,1,352,,,,,,,,,
2019-09-06,DL,DL,DL,1851,DL,N119DU,1851,12953,LGA,"New York, NY",11298,DFW,"Dallas/Fort Worth, TX",1925,2046.0,81.0,37.0,2123.0,2321.0,6.0,2218,2327.0,69.0,0,,0,N,233,221.0,178.0,1,1389,0.0,0.0,0.0,0.0,69.0,,,,
2019-04-04,DL,DL_CODESHARE,DL,4859,OO,N917EV,4859,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",1813,1933.0,80.0,10.0,1943.0,2008.0,3.0,1902,2011.0,69.0,0,,0,N,49,38.0,25.0,1,106,0.0,59.0,0.0,0.0,10.0,,,,
2019-09-03,AA,AA,AA,1221,AA,N920NN,1221,10423,AUS,"Austin, TX",13303,MIA,"Miami, FL",1641,1632.0,-9.0,21.0,1653.0,2007.0,7.0,2039,2014.0,-25.0,0,,0,N,178,162.0,134.0,1,1103,,,,,,,,,
2019-04-06,WN,WN,WN,2748,WN,N7712G,2748,13158,MAF,"Midland/Odessa, TX",12889,LAS,"Las Vegas, NV",1220,1310.0,50.0,13.0,1323.0,1337.0,3.0,1235,1340.0,65.0,0,,0,N,135,150.0,134.0,1,795,0.0,0.0,15.0,0.0,50.0,,,,
2018-04-09,G4,G4,G4,406,G4,424NV,406,12889,LAS,"Las Vegas, NV",15370,TUL,"Tulsa, OK",815,815.0,0.0,13.0,828.0,1226.0,6.0,1252,1232.0,-20.0,0,,0,N,157,137.0,118.0,1,1076,,,,,,,,,
2019-09-28,DL,DL,DL,1181,DL,N997DL,1181,13342,MKE,"Milwaukee, WI",10397,ATL,"Atlanta, GA",1545,1539.0,-6.0,11.0,1550.0,1822.0,16.0,1842,1838.0,-4.0,0,,0,N,117,119.0,92.0,1,669,,,,,,,,,
2018-03-29,DL,DL,DL,1945,DL,N327NW,1945,13486,MSO,"Missoula, MT",13487,MSP,"Minneapolis, MN",530,526.0,-4.0,24.0,550.0,855.0,4.0,913,859.0,-14.0,0,,0,N,163,153.0,125.0,1,1013,,,,,,,,,
2019-09-04,DL,DL_CODESHARE,DL,5929,YX,N204JQ,5929,12953,LGA,"New York, NY",10721,BOS,"Boston, MA",759,747.0,-12.0,17.0,804.0,845.0,23.0,919,908.0,-11.0,0,,0,N,80,81.0,41.0,1,184,,,,,,,,,
2018-03-15,AA,AA_CODESHARE,AA,5301,OH,N228PS,5301,11146,CRW,"Charleston/Dunbar, WV",11278,DCA,"Washington, DC",1847,1836.0,-11.0,10.0,1846.0,1928.0,2.0,2000,1930.0,-30.0,0,,0,N,73,54.0,42.0,1,249,,,,,,,,,
2019-04-12,DL,DL,DL,960,DL,N552NW,960,14635,RSW,"Fort Myers, FL",10397,ATL,"Atlanta, GA",1700,1703.0,3.0,11.0,1714.0,1833.0,9.0,1854,1842.0,-12.0,0,,0,N,114,99.0,79.0,1,515,,,,,,,,,
2018-11-16,WN,WN,WN,5289,WN,N232WN,5289,12889,LAS,"Las Vegas, NV",12892,LAX,"Los Angeles, CA",645,642.0,-3.0,11.0,653.0,734.0,4.0,755,738.0,-17.0,0,,0,N,70,56.0,41.0,1,236,,,,,,,,,
2019-11-24,AS,AS,AS,187,AS,N318AS,187,14747,SEA,"Seattle, WA",10299,ANC,"Anchorage, AK",1855,2005.0,70.0,23.0,2028.0,2244.0,5.0,2140,2249.0,69.0,0,,0,N,225,224.0,196.0,1,1448,69.0,0.0,0.0,0.0,0.0,,,,
2018-05-07,AS,AS,AS,1050,AS,N285VA,1050,12173,HNL,"Honolulu, HI",14771,SFO,"San Francisco, CA",1440,1527.0,47.0,20.0,1547.0,2312.0,15.0,2258,2327.0,29.0,0,,0,N,318,300.0,265.0,1,2398,29.0,0.0,0.0,0.0,0.0,,,,
2018-10-19,AS,AS,AS,1957,AS,N526VA,1957,14679,SAN,"San Diego, CA",14771,SFO,"San Francisco, CA",1130,1124.0,-6.0,17.0,1141.0,1244.0,7.0,1310,1251.0,-19.0,0,,0,N,100,87.0,63.0,1,447,,,,,,,,,
2019-09-16,AA,AA_CODESHARE,AA,4407,YX,N444YX,4407,13303,MIA,"Miami, FL",10397,ATL,"Atlanta, GA",1423,1415.0,-8.0,18.0,1433.0,1557.0,14.0,1620,1611.0,-9.0,0,,0,N,117,116.0,84.0,1,594,,,,,,,,,
2018-04-26,DL,DL,DL,1907,DL,N319US,1907,10423,AUS,"Austin, TX",12478,JFK,"New York, NY",1735,1744.0,9.0,20.0,1804.0,2221.0,13.0,2223,2234.0,11.0,0,,0,N,228,230.0,197.0,1,1521,,,,,,,,,
2019-11-18,AA,AA_CODESHARE,AA,3681,MQ,N836AE,3681,14842,SJT,"San Angelo, TX",11298,DFW,"Dallas/Fort Worth, TX",1821,1820.0,-1.0,17.0,1837.0,1921.0,16.0,1932,1937.0,5.0,0,,0,N,71,77.0,44.0,1,229,,,,,,,,,
2019-12-08,AS,AS,AS,1627,AS,N843VA,1627,12889,LAS,"Las Vegas, NV",14057,PDX,"Portland, OR",1840,1834.0,-6.0,32.0,1906.0,2106.0,3.0,2104,2109.0,5.0,0,,0,N,144,155.0,120.0,1,763,,,,,,,,,
2019-12-24,UA,UA,UA,2276,UA,N458UA,2276,12889,LAS,"Las Vegas, NV",12266,IAH,"Houston, TX",600,554.0,-6.0,15.0,609.0,1054.0,4.0,1059,1058.0,-1.0,0,,0,N,179,184.0,165.0,1,1222,,,,,,,,,
2018-03-14,WN,WN,WN,983,WN,N8641B,983,11697,FLL,"Fort Lauderdale, FL",15304,TPA,"Tampa, FL",600,555.0,-5.0,9.0,604.0,640.0,4.0,700,644.0,-16.0,0,,0,N,60,49.0,36.0,1,197,,,,,,,,,
2018-12-05,AA,AA,AA,1800,AA,N118US,1800,11057,CLT,"Charlotte, NC",10821,BWI,"Baltimore, MD",2040,2036.0,-4.0,17.0,2053.0,2155.0,5.0,2206,2200.0,-6.0,0,,0,N,86,84.0,62.0,1,361,,,,,,,,,
2018-06-22,UA,UA_CODESHARE,UA,5910,OO,N975SW,5910,14689,SBA,"Santa Barbara, CA",11292,DEN,"Denver, CO",1000,1047.0,47.0,10.0,1057.0,1406.0,7.0,1330,1413.0,43.0,0,,0,N,150,146.0,129.0,1,916,0.0,0.0,0.0,0.0,43.0,,,,
2019-11-12,WN,WN,WN,2161,WN,N767SW,2161,13232,MDW,"Chicago, IL",13198,MCI,"Kansas City, MO",540,538.0,-2.0,9.0,547.0,652.0,5.0,710,657.0,-13.0,0,,0,N,90,79.0,65.0,1,405,,,,,,,,,
2019-07-15,AA,AA,AA,596,AA,N924US,596,11057,CLT,"Charlotte, NC",14679,SAN,"San Diego, CA",2032,2122.0,50.0,16.0,2138.0,2244.0,3.0,2218,2247.0,29.0,0,,0,N,286,265.0,246.0,1,2077,15.0,0.0,0.0,0.0,14.0,,,,
2019-09-08,AA,AA_CODESHARE,AA,3155,OO,N768SK,3155,13930,ORD,"Chicago, IL",11433,DTW,"Detroit, MI",2029,2026.0,-3.0,22.0,2048.0,2234.0,7.0,2254,2241.0,-13.0,0,,0,N,85,75.0,46.0,1,235,,,,,,,,,
2019-10-15,G4,G4,G4,2434,G4,271NV,2434,14761,SFB,"Sanford, FL",11986,GRR,"Grand Rapids, MI",1320,1316.0,-4.0,13.0,1329.0,1541.0,7.0,1600,1548.0,-12.0,0,,0,N,160,152.0,132.0,1,1001,,,,,,,,,
2019-07-08,AA,AA,AA,1270,AA,N956NN,1270,13930,ORD,"Chicago, IL",10140,ABQ,"Albuquerque, NM",2036,2101.0,25.0,16.0,2117.0,2244.0,4.0,2238,2248.0,10.0,0,,0,N,182,167.0,147.0,1,1118,,,,,,,,,
2018-02-13,DL,DL_CODESHARE,DL,5548,EV,N750EV,5548,11433,DTW,"Detroit, MI",11066,CMH,"Columbus, OH",1555,1550.0,-5.0,17.0,1607.0,1638.0,4.0,1707,1642.0,-25.0,0,,0,N,72,52.0,31.0,1,155,,,,,,,,,
2018-12-19,DL,DL_CODESHARE,DL,5223,9E,N138EV,5223,10721,BOS,"Boston, MA",11193,CVG,"Cincinnati, OH",1430,1422.0,-8.0,32.0,1454.0,1651.0,6.0,1711,1657.0,-14.0,0,,0,N,161,155.0,117.0,1,752,,,,,,,,,
2019-11-08,DL,DL_CODESHARE,DL,4084,OO,N912EV,4084,11641,FAY,"Fayetteville, NC",10397,ATL,"Atlanta, GA",1242,1240.0,-2.0,8.0,1248.0,1353.0,13.0,1419,1406.0,-13.0,0,,0,N,97,86.0,65.0,1,331,,,,,,,,,
2019-08-02,UA,UA_CODESHARE,UA,6151,YV,N87306,6151,12266,IAH,"Houston, TX",13487,MSP,"Minneapolis, MN",1420,1617.0,117.0,19.0,1636.0,1903.0,4.0,1709,1907.0,118.0,0,,0,N,169,170.0,147.0,1,1034,118.0,0.0,0.0,0.0,0.0,,,,
2019-01-28,B6,B6,B6,687,B6,N984JB,687,10721,BOS,"Boston, MA",12892,LAX,"Los Angeles, CA",1743,1734.0,-9.0,15.0,1749.0,2041.0,4.0,2135,2045.0,-50.0,0,,0,N,412,371.0,352.0,1,2611,,,,,,,,,
