"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2019-12-27","NK","NK","NK",844,"NK","N686NK",844,11697,"FLL","Fort Lauderdale, FL",11433,"DTW","Detroit, MI",750,946,116,15,1001,1226,8,1052,1234,102,0,NULL,0,"N",182,168,145,1,1127,0,0,0,0,102,NULL,NULL,NULL,NULL
"2019-10-04","UA","UA_CODESHARE","UA",4807,"ZW","N415AW",4807,10792,"BUF","Buffalo, NY",12264,"IAD","Washington, DC",1445,1435,-10,11,1446,1537,8,1606,1545,-21,0,NULL,0,"N",81,70,51,1,283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-08","DL","DL","DL",874,"DL","N326US",874,11433,"DTW","Detroit, MI",10693,"BNA","Nashville, TN",1740,1802,22,13,1815,1820,11,1815,1831,16,0,NULL,0,"N",95,89,65,1,456,2,0,0,0,14,NULL,NULL,NULL,NULL
"2019-05-25","AA","AA_CODESHARE","AA",5343,"OH","N581NN",5343,14685,"SAV","Savannah, GA",11057,"CLT","Charlotte, NC",1113,1059,-14,14,1113,1200,13,1232,1213,-19,0,NULL,0,"N",79,74,47,1,213,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-10","UA","UA_CODESHARE","UA",4613,"AX","N21129",4613,10627,"BIS","Bismarck/Mandan, ND",11292,"DEN","Denver, CO",1410,1412,2,20,1432,1453,9,1504,1502,-2,0,NULL,0,"N",114,110,81,1,516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-11-03","AA","AA","AA",569,"AA","N806NN",569,14635,"RSW","Fort Myers, FL",11057,"CLT","Charlotte, NC",1933,1928,-5,11,1939,2105,10,2127,2115,-12,0,NULL,0,"N",114,107,86,1,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-01-25","AA","AA","AA",599,"AA","N766US",599,11298,"DFW","Dallas/Fort Worth, TX",11884,"GEG","Spokane, WA",855,850,-5,21,911,1035,6,1057,1041,-16,0,"",0,"N",242,231,204,1,1477,NULL,NULL,NULL,NULL,NULL,"",NULL,NULL,NULL
"2018-04-07","WN","WN","WN",3694,"WN","N267WN",3694,12889,"LAS","Las Vegas, NV",11292,"DEN","Denver, CO",2130,2136,6,9,2145,4,5,15,9,-6,0,NULL,0,"N",105,93,79,1,628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-05","DL","DL_CODESHARE","DL",7372,"OO","N857AS",7372,13487,"MSP","Minneapolis, MN",10631,"BJI","Bemidji, MN",1953,1951,-2,15,2006,2042,4,2102,2046,-16,0,NULL,0,"N",69,55,36,1,199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-07-08","AA","AA","AA",313,"AA","N146AA",313,11298,"DFW","Dallas/Fort Worth, TX",14679,"SAN","San Diego, CA",935,935,0,52,1027,1112,5,1033,1117,44,0,NULL,0,"N",178,222,165,1,1171,0,0,44,0,0,NULL,NULL,NULL,NULL
"2018-09-24","DL","DL_CODESHARE","DL",6250,"G7","N376CA",6250,11066,"CMH","Columbus, OH",14492,"RDU","Raleigh/Durham, NC",1905,1900,-5,22,1922,2024,5,2025,2029,4,0,NULL,0,"N",80,89,62,1,362,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-09-27","WN","WN","WN",28,"WN","N910WN",28,12191,"HOU","Houston, TX",11259,"DAL","Dallas, TX",1300,1321,21,10,1331,1410,4,1405,1414,9,0,NULL,0,"N",65,53,39,1,239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-05-06","DL","DL","DL",2448,"DL","N984DL",2448,10397,"ATL","Atlanta, GA",14027,"PBI","West Palm Beach/Palm Beach, FL",1558,1553,-5,12,1605,1740,3,1745,1743,-2,0,NULL,0,"N",107,110,95,1,545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-10-21","WN","WN","WN",3694,"WN","N241WN",3694,14831,"SJC","San Jose, CA",14869,"SLC","Salt Lake City, UT",1420,1430,10,9,1439,1702,4,1705,1706,1,0,NULL,0,"N",105,96,83,1,584,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-07-27","UA","UA","UA",710,"UA","N69826",710,14679,"SAN","San Diego, CA",11618,"EWR","Newark, NJ",2048,2051,3,21,2112,441,11,457,452,-5,0,NULL,0,"N",309,301,269,1,2425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2018-04-09","AA","AA","AA",1569,"AA","N989AU",1569,12892,"LAX","Los Angeles, CA",13930,"ORD","Chicago, IL",1259,1255,-4,27,1322,1901,20,1924,1921,-3,0,NULL,0,"N",265,266,219,1,1744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-02-16","UA","UA_CODESHARE","UA",5188,"OO","N945SW",5188,10620,"BIL","Billings, MT",11292,"DEN","Denver, CO",1748,1850,62,30,1920,2030,7,1940,2037,57,0,NULL,0,"N",112,107,70,1,455,0,0,0,0,57,NULL,NULL,NULL,NULL
"2018-11-07","NK","NK","NK",450,"NK","N651NK",450,11697,"FLL","Fort Lauderdale, FL",14025,"PBG","Plattsburgh, NY",2252,2241,-11,18,2259,139,9,204,148,-16,0,NULL,0,"N",192,187,160,1,1334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-09","DL","DL_CODESHARE","DL",3516,"OO","N702BR",3516,11641,"FAY","Fayetteville, NC",10397,"ATL","Atlanta, GA",1525,1546,21,13,1559,1708,6,1652,1714,22,0,NULL,0,"N",87,88,69,1,331,0,0,1,0,21,NULL,NULL,NULL,NULL
